location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper,cluster
146,Lebanon,LBN,Country,2021,1175342,1086182,1279617,4221805,3901545,4596361,305920,266232,350139,1098859,956300,1257693,272820,210120,344570,979964,754747,1237687,376896,334626,427539,1353804.0,1201971,1535712,219705,789177,212,196,231,762,704,829,55,48,63,198,173,227,49,38,62,177,136,223,68,60,77,244,217,277,40,142,0.26,0.232,0.295,0.232,0.189,0.282,0.321,0.285,0.356,0.187,0.172,0.202,0.057,0.046,0.07,0.015,0.011,0.019,0.013,0.01,0.019,0.018,0.015,0.023,0.011,0.009,0.013,0
194,Lesotho,LSO,Country,2021,275069,254132,296952,729343,673827,787365,101719,83243,122743,269706,220717,325452,1087,537,1898,2883,1423,5033,35311,25971,46831,93627.0,68863,124173,136952,363127,147,136,159,390,360,421,54,45,66,144,118,174,1,0,1,2,1,3,19,14,25,50,37,66,73,194,0.369,0.323,0.416,0.004,0.002,0.007,0.128,0.096,0.166,0.499,0.461,0.539,0.136,0.12,0.151,0.05,0.04,0.061,0.001,0.0,0.001,0.017,0.013,0.024,0.068,0.062,0.072,0
210,Liberia,LBR,Country,2021,384076,358622,414238,866988,809532,935074,40750,31043,51460,91986,70075,116163,20057,14857,26460,45274,33537,59730,158886,135455,191381,358660.0,305768,432012,164383,371068,70,66,76,159,148,171,7,6,9,17,13,21,4,3,5,8,6,11,29,25,35,66,56,79,30,68,0.106,0.082,0.132,0.052,0.038,0.07,0.413,0.371,0.46,0.429,0.397,0.458,0.107,0.084,0.141,0.011,0.008,0.017,0.006,0.004,0.009,0.044,0.033,0.061,0.046,0.037,0.06,0
147,Libya,LBY,Country,2021,1774693,1464669,2167676,6713904,5541043,8200613,1161799,856690,1501286,4395245,3240973,5679568,74076,36563,129179,280238,138323,488702,452063,329670,595294,1710216.0,1247187,2252080,86755,328204,258,213,315,976,806,1192,169,125,218,639,471,826,11,5,19,41,20,71,66,48,87,249,181,327,13,48,0.653,0.564,0.731,0.042,0.021,0.071,0.256,0.188,0.341,0.049,0.04,0.059,0.041,0.034,0.05,0.027,0.02,0.035,0.002,0.001,0.003,0.011,0.008,0.014,0.002,0.002,0.002,0
60,Lithuania,LTU,Country,2021,5392369,5259953,5529193,10172287,9922495,10430395,3638362,3518643,3763744,6863488,6637647,7100012,117528,110830,125132,221708,209072,236052,1636479,1583086,1692265,3087092.0,2986368,3192327,0,0,1977,1928,2027,3729,3638,3824,1334,1290,1380,2516,2434,2603,43,41,46,81,77,87,600,580,620,1132,1095,1170,0,0,0.675,0.665,0.685,0.022,0.021,0.023,0.304,0.293,0.313,0.0,0.0,0.0,0.08,0.078,0.082,0.054,0.052,0.056,0.002,0.002,0.002,0.024,0.023,0.025,0.0,0.0,0.0,3
87,Luxembourg,LUX,Country,2021,4487928,4311665,4688683,5009993,4813227,5234102,3952082,3779010,4141076,4411814,4218610,4622794,135608,118507,153423,151383,132293,171270,400238,357651,449837,446796.0,399255,502165,0,0,6957,6684,7268,7766,7461,8113,6126,5858,6419,6839,6539,7166,210,184,238,235,205,265,620,554,697,693,619,778,0,0,0.881,0.869,0.891,0.03,0.026,0.034,0.089,0.08,0.099,0.0,0.0,0.0,0.055,0.053,0.058,0.049,0.046,0.051,0.002,0.001,0.002,0.005,0.004,0.006,0.0,0.0,0.0,1
181,Madagascar,MDG,Country,2021,556280,523656,594234,1932804,1819451,2064678,109835,89248,132968,381624,310093,461999,31996,15815,55634,111171,54949,193303,167944,148634,188237,583525.0,516431,654032,246504,856483,19,18,21,68,64,72,4,3,5,13,11,16,1,1,2,4,2,7,6,5,7,20,18,23,9,30,0.197,0.164,0.23,0.057,0.03,0.097,0.302,0.272,0.331,0.444,0.415,0.471,0.038,0.036,0.041,0.008,0.006,0.009,0.002,0.001,0.004,0.012,0.01,0.013,0.017,0.017,0.017,0
182,Malawi,MWI,Country,2021,1067298,1016872,1123659,3061577,2916931,3223250,175506,136309,220736,503445,391005,633187,51832,32538,77183,148681,93335,221401,135649,108262,171864,389112.0,310552,492997,704311,2020339,55,52,58,158,150,166,9,7,11,26,20,33,3,2,4,8,5,11,7,6,9,20,16,25,36,104,0.164,0.131,0.199,0.048,0.031,0.071,0.127,0.104,0.157,0.66,0.627,0.693,0.089,0.082,0.1,0.015,0.011,0.019,0.004,0.003,0.007,0.011,0.009,0.014,0.059,0.055,0.064,0
13,Malaysia,MYS,Country,2021,16402721,15597916,17241551,45834761,43585863,48178737,9197846,8536757,9880859,25701900,23854592,27610468,1929360,1471030,2442904,5391285,4110555,6826301,5251775,5152993,5356368,14675240.0,14399209,14967509,23739,66336,517,492,544,1446,1375,1520,290,269,312,811,752,871,61,46,77,170,130,215,166,163,169,463,454,472,1,2,0.561,0.535,0.587,0.117,0.092,0.145,0.32,0.305,0.336,0.001,0.001,0.002,0.046,0.043,0.049,0.026,0.024,0.028,0.005,0.004,0.007,0.015,0.014,0.015,0.0,0.0,0.0,0
14,Maldives,MDV,Country,2021,497238,468134,525760,1048692,987311,1108846,390211,364064,414590,822968,767824,874384,9344,5846,14372,19708,12329,30311,78155,67170,90852,164832.0,141665,191610,19527,41184,962,906,1017,2029,1910,2145,755,704,802,1592,1485,1691,18,11,28,38,24,59,151,130,176,319,274,371,38,80,0.785,0.762,0.804,0.019,0.012,0.029,0.157,0.137,0.178,0.039,0.037,0.042,0.081,0.063,0.095,0.063,0.049,0.075,0.002,0.001,0.002,0.013,0.009,0.016,0.003,0.003,0.004,0
